variable	minutes	T..595	value	DCA_concentration_mM
D1	0	37	0.097	CK-
D1	30	37	0.097	CK-
D1	60	37	0.096	CK-
D1	90	37	0.096	CK-
D1	120	37	0.095	CK-
D1	150	37	0.096	CK-
D1	180	37	0.096	CK-
D1	210	37	0.096	CK-
D1	240	37	0.096	CK-
D1	270	37	0.096	CK-
D1	300	37	0.095	CK-
D1	330	37	0.096	CK-
D1	360	37	0.096	CK-
D1	390	37	0.095	CK-
D1	420	37	0.096	CK-
D1	450	37	0.096	CK-
D1	480	37	0.096	CK-
D1	510	37	0.096	CK-
D1	540	37	0.096	CK-
D1	570	37	0.096	CK-
D1	600	37	0.095	CK-
D1	630	37	0.095	CK-
D1	660	37	0.095	CK-
D1	690	37	0.095	CK-
D1	720	37	0.095	CK-
D1	750	37	0.095	CK-
D1	780	37	0.095	CK-
D1	810	37	0.095	CK-
D1	840	37	0.095	CK-
D1	870	37	0.095	CK-
D1	900	37	0.095	CK-
D1	930	37	0.095	CK-
D1	960	37	0.095	CK-
D1	990	37	0.095	CK-
D1	1020	37	0.095	CK-
D1	1050	37	0.095	CK-
D1	1080	37	0.095	CK-
D1	1110	37	0.095	CK-
D1	1140	37	0.094	CK-
D1	1170	37	0.095	CK-
D1	1200	37	0.094	CK-
D1	1230	37	0.094	CK-
D1	1260	37	0.094	CK-
D1	1290	37	0.094	CK-
D1	1320	37	0.094	CK-
D1	1350	37	0.094	CK-
D1	1380	37	0.094	CK-
D1	1410	37	0.094	CK-
D1	1440	37	0.094	CK-
D1	1470	37	0.094	CK-
D1	1500	37	0.094	CK-
D1	1530	37	0.094	CK-
D1	1560	37	0.094	CK-
D1	1590	37	0.094	CK-
D1	1620	37	0.094	CK-
D1	1650	37	0.094	CK-
D1	1680	36.9	0.094	CK-
D1	1710	37	0.094	CK-
D1	1740	37	0.094	CK-
D1	1770	37	0.094	CK-
D1	1800	37	0.094	CK-
D1	1830	37	0.094	CK-
D1	1860	37	0.094	CK-
D1	1890	37	0.093	CK-
D1	1920	37	0.094	CK-
D1	1950	37	0.094	CK-
D1	1980	37	0.093	CK-
D1	2010	37	0.093	CK-
D1	2040	37	0.093	CK-
D1	2070	37	0.093	CK-
D1	2100	37	0.093	CK-
D1	2130	37	0.093	CK-
D1	2160	37	0.093	CK-
D1	2190	37	0.093	CK-
D1	2220	37.1	0.093	CK-
D1	2250	37	0.093	CK-
D1	2280	37	0.093	CK-
D1	2310	37	0.093	CK-
D1	2339	37	0.093	CK-
D1	2370	37	0.093	CK-
D1	2400	37	0.093	CK-
D1	2430	37	0.093	CK-
D1	2459	37	0.093	CK-
D1	2490	37	0.093	CK-
D1	2520	37	0.093	CK-
D1	2550	37	0.093	CK-
D1	2580	37	0.093	CK-
D1	2610	37	0.093	CK-
D1	2640	37	0.093	CK-
D1	2670	37	0.093	CK-
D1	2700	37	0.093	CK-
D1	2730	37	0.094	CK-
D1	2760	37	0.094	CK-
D1	2790	37	0.095	CK-
D1	2820	37	0.095	CK-
D1	2850	37	0.096	CK-
D1	2880	37	0.097	CK-
D1	2910	37.1	0.097	CK-
D1	2940	37	0.096	CK-
D1	2970	37	0.095	CK-
D1	3000	37	0.094	CK-
D1	3030	37	0.094	CK-
D1	3060	37	0.093	CK-
D1	3090	37	0.093	CK-
D1	3120	37	0.093	CK-
D1	3150	37	0.093	CK-
D1	3180	37	0.093	CK-
D1	3210	37	0.092	CK-
D1	3240	37	0.092	CK-
D1	3270	37	0.092	CK-
D1	3300	37	0.092	CK-
D1	3330	37	0.092	CK-
D1	3360	37	0.092	CK-
D1	3390	37	0.092	CK-
D1	3420	37	0.092	CK-
D1	3450	37	0.091	CK-
D1	3480	37	0.091	CK-
D1	3510	37	0.091	CK-
D1	3540	37	0.091	CK-
D1	3570	37	0.091	CK-
D1	3600	37	0.091	CK-
D1	3630	37	0.091	CK-
D1	3660	37	0.091	CK-
D1	3690	37	0.091	CK-
D1	3720	37	0.091	CK-
D1	3750	37	0.091	CK-
D1	3780	37	0.091	CK-
D1	3810	37	0.091	CK-
D1	3840	37	0.091	CK-
D1	3870	37	0.091	CK-
D1	3900	37	0.091	CK-
D1	3930	37	0.091	CK-
D1	3960	37	0.091	CK-
D1	3990	37	0.091	CK-
D1	4020	37	0.091	CK-
D1	4050	37	0.091	CK-
D1	4080	37	0.091	CK-
