Funct	Description
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	Glycolysis, core module involving three-carbon compounds
M00003	Gluconeogenesis, oxaloacetate => fructose-6P
M00004	Pentose phosphate pathway (Pentose phosphate cycle)
M00005	PRPP biosynthesis, ribose 5P => PRPP
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00009	Citrate cycle (TCA cycle, Krebs cycle)
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00012	Glyoxylate cycle
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00014	Glucuronate pathway (uronate pathway)
M00015	Proline biosynthesis, glutamate => proline
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00017	Methionine biosynthesis, aspartate => homoserine => methionine
M00018	Threonine biosynthesis, aspartate => homoserine => threonine
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00020	Serine biosynthesis, glycerate-3P => serine
M00021	Cysteine biosynthesis, serine => cysteine
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00023	Tryptophan biosynthesis, chorismate => tryptophan
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine
M00026	Histidine biosynthesis, PRPP => histidine
M00027	GABA (gamma-Aminobutyrate) shunt
M00028	Ornithine biosynthesis, glutamate => ornithine
M00029	Urea cycle
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00033	Ectoine biosynthesis, aspartate => ectoine
M00034	Methionine salvage pathway
M00035	Methionine degradation
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA
M00037	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol
M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine
M00044	Tyrosine degradation, tyrosine => homogentisate
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
M00047	Creatine pathway
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
M00055	N-glycan precursor biosynthesis
M00056	O-glycan biosynthesis, mucin type core
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
