header	Cdiff_1	Cdiff_4	Cdiff_8	Cdiff_25	Cdiff_28	Cdiff_32	Cdiff_49	Cdiff_Csind_1	Cdiff_Csind_4	Cdiff_Csind_8	Cdiff_Csind_25	Cdiff_Csind_28	Cdiff_Csind_32	Cdiff_Csind_49
Condition	Cdiff	Cdiff	Cdiff	Cdiff	Cdiff	Cdiff	Cdiff	Cdiff_Csind	Cdiff_Csind	Cdiff_Csind	Cdiff_Csind	Cdiff_Csind	Cdiff_Csind	Cdiff_Csind
time	1	4	8	25	28	32	49	1	4	8	25	28	32	49
CA	2609.5971	2005.6677	 288.2308	1608.2069	1424.5132	1599.8162	 455.4588	2344.2599	 342.5620	7819.9629	5712.2776	 744.8623	  98.2096	 104.1836
CDCA	181.510165	  0.000000	  3.088365	129.454785	 99.851915	 72.015315	 23.646255	124.875425	 16.408840	571.777130	  0.000000	  0.000000	  0.000000	  0.000000
DCA	1011.36689	 525.48158	  38.64244	 698.61438	 447.51120	 526.30043	 132.42041	 921.99930	  92.93251	3585.12372	9876.39100	4022.16494	 889.59417	 788.63187
GCA	11939.21449	12695.19165	 2220.35703	 7801.34781	 7646.56924	 7984.60076	 3035.71924	11336.47273	 1296.47364	15641.91347	  789.11993	    0.00000	    0.00000	   20.56999
GCDCA	634.11536	615.61528	 91.18743	410.70285	424.37220	410.01096	112.74344	610.99778	 45.84802	797.68499	 54.83401	  1.66533	  0.00000	  0.00000
GDCA	2084.542830	2495.608075	 360.980975	1616.891655	1736.896395	1972.419900	 538.987060	2382.967815	 264.926270	2988.923855	 358.713450	  26.636925	   0.000000	   5.579995
GLCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUDCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCA	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	395.517	188.356	  0.000	  0.000
MCA(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCA(b)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCA(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCA(o)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Murocholic Acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCA	27105.462	30871.720	 4616.873	19214.644	18730.257	16671.763	 6664.480	29356.068	 3086.836	42709.174	42034.272	11061.160	 2368.988	 1622.656
TCDCA	 702.32205	1053.31354	 160.33659	 687.94082	 547.96874	 640.70704	 189.61939	1412.37417	  98.22521	1549.74137	1298.93304	 346.23653	  78.12801	  54.62847
TDCA	2706.0395	3559.5286	 689.4015	2366.3667	2709.1539	2971.0427	 849.0141	3316.9516	 434.0424	5475.8107	4606.7123	1414.7023	 380.5807	 227.7376
THDCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLCA	43.788315	 0.000000	 0.000000	35.190735	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	71.496980	29.119665	 2.864280	 4.136735
TMCA(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCA(b)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCA(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCA(o)	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUDCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
