Funct	Description
1.-.-.-	Oxidoreductases
1.1.-.-	Oxidoreductases; Acting on the CH-OH group of donors
1.1.1.-	Oxidoreductases; Acting on the CH-OH group of donors; With NAD(+) or NADP(+) as acceptor
1.1.1.1	alcohol dehydrogenase; aldehyde reductase; ADH; alcohol dehydrogenase (NAD); aliphatic alcohol dehydrogenase; ethanol dehydrogenase; NAD-dependent alcohol dehydrogenase; NAD-specific aromatic alcohol dehydrogenase; NADH-alcohol dehydrogenase; NADH-aldehyde dehydrogenase; primary alcohol dehydrogenase; yeast alcohol dehydrogenase
1.1.1.10	L-xylulose reductase; xylitol dehydrogenase (ambiguous)
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase; beta-ketoacyl-[acyl-carrier protein](ACP) reductase; beta-ketoacyl acyl carrier protein (ACP) reductase; beta-ketoacyl reductase; beta-ketoacyl thioester reductase; beta-ketoacyl-ACP reductase; beta-ketoacyl-acyl carrier protein reductase; 3-ketoacyl acyl carrier protein reductase; NADPH-specific 3-oxoacyl-[acylcarrier protein]reductase; 3-oxoacyl-[ACP]reductase; (3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase
1.1.1.101	acylglycerone-phosphate reductase; palmitoyldihydroxyacetone-phosphate reductase; palmitoyl dihydroxyacetone phosphate reductase; palmitoyl-dihydroxyacetone-phosphate reductase; acyldihydroxyacetone phosphate reductase; palmitoyl dihydroxyacetone phosphate reductase
1.1.1.102	3-dehydrosphinganine reductase; D-3-dehydrosphinganine reductase; D-3-oxosphinganine reductase; DSR; 3-oxosphinganine reductase; 3-oxosphinganine:NADPH oxidoreductase; D-3-oxosphinganine:B-NADPH oxidoreductase
1.1.1.103	L-threonine 3-dehydrogenase; L-threonine dehydrogenase; threonine 3-dehydrogenase; threonine dehydrogenase; TDH
1.1.1.104	4-oxoproline reductase; cis-hydroxy-L-proline oxidase
1.1.1.105	all-trans-retinol dehydrogenase (NAD+); retinol (vitamin A1) dehydrogenase; MDR; microsomal retinol dehydrogenase; retinol dehydrogenase (misleading); retinal reductase (ambiguous); retinene reductase; epidermal retinol dehydrogenase 2; SDR16C5 (gene name); RDH16 (gene name)
1.1.1.106	pantoate 4-dehydrogenase; pantoate dehydrogenase; pantothenase; D-pantoate:NAD+ 4-oxidoreductase
1.1.1.107	pyridoxal 4-dehydrogenase; pyridoxal dehydrogenase
1.1.1.108	carnitine 3-dehydrogenase
1.1.1.109	Transferred to 1.3.1.28
1.1.1.11	D-arabinitol 4-dehydrogenase; D-arabitol dehydrogenase; arabitol dehydrogenase
1.1.1.110	aromatic 2-oxoacid reductase; (R)-aromatic lactate dehydrogenase; (R)-4-hydroxyphenyllactate dehydrogenase; indolelactate:NAD+ oxidoreductase; indolelactate dehydrogenase; fldH (gene name); (indol-3-yl)lactate:NAD+ oxidoreductase
1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase; imidazol-5-yl lactate dehydrogenase
1.1.1.112	indanol dehydrogenase
1.1.1.113	L-xylose 1-dehydrogenase; L-xylose dehydrogenase; NADPH-xylose reductase
1.1.1.114	apiose 1-reductase; D-apiose reductase; D-apiitol reductase
1.1.1.115	ribose 1-dehydrogenase (NADP+); D-ribose dehydrogenase (NADP+); NADP+-pentose-dehydrogenase; ribose 1-dehydrogenase (NADP+)
