ID	eggNOG OGs	KEGG_ko	KEGG_Pathway	KEGG_Module	PFAMs	kofam_KO	merged_KO	dbCAN.mod	dbCAN.enzclass
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00001	COG0593	K02313	ko02020,ko04112,map02020,map04112	-	AAA,AAA_14,AAA_22,AAA_5,AFG1_ATPase,Arch_ATPase,Bac_DnaA,Bac_DnaA_C,DNA_pol3_a_NII,DnaA_N,IstB_IS21,LRR_6,RNA_helicase,Sec7	-	K02313	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00002	COG0592	K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3,DUF3931	-	K02338	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00004	COG1195	K03629	ko03440,map03440	-	AAA_15,AAA_21,AAA_23,AAA_27,AAA_29,DUF2813,SMC_N	-	K03629	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00005	COG0187	K02470	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,HATPase_c_3,Toprim	-	K02470	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00006	COG0188	K02469	-	-	DNA_gyraseA_C,DNA_topoisoIV	-	K02469	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00009	COG1366	K04749	-	-	STAS,STAS_2	-	K04749	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00010	COG2172	K04757	-	-	HATPase_c,HATPase_c_2	-	K04757	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00011	COG1191	K03090,K03091	-	-	GerE,HTH_16,HTH_23,HTH_3,KORA,Sigma70_ECF,Sigma70_r2,Sigma70_r3,Sigma70_r4,Sigma70_r4_2,Trp_repressor	-	K03090,K03091	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00021	COG1827	K07105	-	-	3H,HTH_11	-	K07105	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00022	COG0668	K03442	-	-	MS_channel,TM_helix	-	K03442	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00024	COG0172	K01875	ko00970,map00970	M00359,M00360	Seryl_tRNA_N,tRNA-synt_2b	-	K01875	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00025	COG0590	K11991	-	-	Acetyltransf_CG,DUF1905,Hydrolase_3,MafB19-deam,S6PP,TMP-TENI,dCMP_cyt_deam_1	-	K11991	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00030	COG2812	K02343	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	AAA,AAA_17,AAA_19,AAA_22,AAA_30,AAA_5,DNA_pol3_a_NII,DNA_pol3_delta2,DNA_pol3_gamma3,DNApol3-delta_C,Herpes_Helicase,Mg_chelatase,Rad17,RuvB_N,TIP49	-	K02343	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00031	COG0718	K09747	-	-	YbaB_DNA_bd	-	K09747	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00032	COG0353	K06187	ko03440,map03440	-	HHH,RecR,Toprim,Toprim_4	-	K06187	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00034	COG0707	K03429	ko00561,ko01100,map00561,map01100	-	Glyco_tran_28_C,Glyco_trans_1_3,Glyco_trans_1_4,Glycos_transf_1,MGDG_synth	-	K03429	-	GT28
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00081	2C8AN	-	-	-	-	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00083	COG1038	K01958	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173	ATP-grasp,ATP-grasp_3,ATP-grasp_4,Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,Biotin_lipoyl_2,CPSase_L_D2,CPSase_L_chain,Dala_Dala_lig_C,HMGL-like,HlyD_D23,PYC_OADA,RimK	-	K01958	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00084	COG0480	K02355	-	-	ABC_tran,CbiA,EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2,MMR_HSR1,RF3_C,Ras,SRPRB	-	K02355	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00085	COG4463	K03708	-	-	CtsR	-	K03708	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00086	COG3880	K19411	-	-	UVR	-	K19411	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00087	COG3869	K19405	-	-	ATP-gua_Ptrans	-	K19405	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00088	COG0542	K03695,K03696	ko01100,ko04213,map01100,map04213	-	AAA,AAA_16,AAA_2,AAA_5,ClpB_D2-small,Clp_N,Sigma54_activat,TniB,Torsin,UVR	-	K03695,K03696	-	GH6
