#protein_sequence_id	HMM bit score	COG	taxid.projectid (if possible)
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_1286	142.6	COG0184	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_1286._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_85	166.9	COG0185	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_85._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_90	145.6	COG0186	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1_90._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00024	641.5	COG0172	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00024._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00116	738.6	COG0215	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00116._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00126	260.2	COG0080	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00126._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00127	349.1	COG0081	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00127._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00132	2191.5	COG0085	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00132._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00133	1811.0	COG0086	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00133._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00134	187.5	COG0048	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00134._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00135	255.5	COG0049	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00135._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00139	318.7	COG0087	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00139._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00140	326.5	COG0088	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00140._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00142	437.5	COG0090	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00142._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00144	214.6	COG0091	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00144._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00145	395.6	COG0092	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00145._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00146	221.7	COG0197	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00146._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00149	210.0	COG0093	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00149._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00151	282.8	COG0094	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00151._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00153	195.5	COG0096	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00153._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00154	258.2	COG0097	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00154._NA_
